Species,Image Number,Treatment,Treatment Name,Preparation Type,Total Barbs,,,,,,,,,,,,,,,,,,,,,,,,,Mean AI,Mean AI per preparation type,Mean AI per treament
Manx Shearwater,164.1,0,Control,Oiled & Percolation,25,1,1,1,1,1,1,1,2,1,2,1,3,1,1,1,1,2,1,1,1,,,,,1.25,,
Manx Shearwater,164.2,0,Control,Oiled & Percolation,25,1,1,1,1,1,1,1,1,2,2,1,3,2,1,1,1,1,1,1,1,,,,,1.25,,
Manx Shearwater,164.3,0,Control,Oiled & Percolation,21,3,5,1,2,1,1,1,2,2,1,2,,,,,,,,,,,,,,1.91,,
Manx Shearwater,164.4,0,Control,Oiled & Percolation,21,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,,,,,,1.11,,
Manx Shearwater,170.1,0,Control,Oiled & Percolation,25,1,1,3,1,1,1,1,1,1,3,2,1,2,2,3,1,,,,,,,,,1.56,,
Manx Shearwater,170.2,0,Control,Oiled & Percolation,25,1,1,1,3,1,1,3,1,2,2,1,3,1,2,2,,,,,,,,,,1.67,,
Manx Shearwater,170.3,0,Control,Oiled & Percolation,25,1,3,1,2,1,1,1,1,1,1,1,1,1,2,3,2,1,1,,,,,,,1.39,,
Manx Shearwater,170.4,0,Control,Oiled & Percolation,25,2,1,1,2,1,1,1,1,1,1,1,1,1,1,2,5,1,1,,,,,,,1.39,1.44,
Manx Shearwater,188.1,0,Control,Oiled,25,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.04,,
Manx Shearwater,188.2,0,Control,Oiled,21,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,,,,,1.05,,
Manx Shearwater,188.3,0,Control,Oiled,21,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,,,,,,,1.17,,
Manx Shearwater,188.4,0,Control,Oiled,25,1,2,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,,,1.14,,
Manx Shearwater,194.1,0,Control,Oiled,21,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1,,,,,,,1.17,,
Manx Shearwater,194.2,0,Control,Oiled,21,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,,,,,,1.11,,
Manx Shearwater,194.2,0,Control,Oiled,25,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.04,,
Manx Shearwater,194.4,0,Control,Oiled,25,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,,1.09,1.1,1.27
Manx Shearwater,166.1,1,Trace Colour Sheen,Oiled & Percolation,21,1,1,1,2,3,1,1,2,2,1,2,1,2,1,,,,,,,,,,,1.5,,
Manx Shearwater,166.2,1,Trace Colour Sheen,Oiled & Percolation,21,2,2,1,2,1,1,1,2,6,3,,,,,,,,,,,,,,,2.1,,
Manx Shearwater,166.3,1,Trace Colour Sheen,Oiled & Percolation,21,3,3,1,1,2,3,1,2,3,2,,,,,,,,,,,,,,,2.1,,
Manx Shearwater,166.4,1,Trace Colour Sheen,Oiled & Percolation,21,1,1,1,1,3,1,1,4,2,3,3,,,,,,,,,,,,,,1.91,,
Manx Shearwater,172.1,1,Trace Colour Sheen,Oiled & Percolation,21,1,1,3,1,2,1,2,6,3,1,,,,,,,,,,,,,,,2.1,,
Manx Shearwater,172.2,1,Trace Colour Sheen,Oiled & Percolation,21,1,2,1,1,4,3,2,1,1,1,1,1,2,,,,,,,,,,,,1.62,,
Manx Shearwater,172.3,1,Trace Colour Sheen,Oiled & Percolation,21,3,5,5,3,4,1,,,,,,,,,,,,,,,,,,,3.5,,
Manx Shearwater,172.4,1,Trace Colour Sheen,Oiled & Percolation,21,1,2,7,3,4,4,,,,,,,,,,,,,,,,,,,3.5,2.29,
Manx Shearwater,190.1,1,Trace Colour Sheen,Oiled,21,2,2,5,1,1,1,1,1,1,1,2,3,,,,,,,,,,,,,1.75,,
Manx Shearwater,190.2,1,Trace Colour Sheen,Oiled,25,2,1,2,3,1,2,2,1,1,1,3,1,1,1,1,2,,,,,,,,,1.56,,
Manx Shearwater,190.3,1,Trace Colour Sheen,Oiled,21,1,2,1,1,2,3,1,2,2,2,2,2,,,,,,,,,,,,,1.75,,
Manx Shearwater,190.4,1,Trace Colour Sheen,Oiled,21,1,3,3,3,1,1,2,3,2,2,,,,,,,,,,,,,,,2.1,,
Manx Shearwater,196.1,1,Trace Colour Sheen,Oiled,25,2,2,1,1,2,1,1,1,2,5,2,5,,,,,,,,,,,,,2.08,,
Manx Shearwater,196.2,1,Trace Colour Sheen,Oiled,25,4,1,5,2,3,2,2,2,2,2,,,,,,,,,,,,,,,2.5,,
Manx Shearwater,196.3,1,Trace Colour Sheen,Oiled,25,2,2,2,6,3,5,1,2,2,,,,,,,,,,,,,,,,2.78,,
Manx Shearwater,196.4,1,Trace Colour Sheen,Oiled,25,6,1,4,1,1,4,1,3,2,2,,,,,,,,,,,,,,,2.5,2.13,2.21
Manx Shearwater,167.1,2,Dark Colour Sheen,Oiled & Percolation,21,3,2,7,5,4,,,,,,,,,,,,,,,,,,,,4.2,,
Manx Shearwater,167.2,2,Dark Colour Sheen,Oiled & Percolation,21,4,2,1,7,5,2,,,,,,,,,,,,,,,,,,,3.5,,
Manx Shearwater,167.3,2,Dark Colour Sheen,Oiled & Percolation,21,4,5,7,5,,,,,,,,,,,,,,,,,,,,,5.25,,
Manx Shearwater,167.4,2,Dark Colour Sheen,Oiled & Percolation,21,2,7,3,3,3,3,,,,,,,,,,,,,,,,,,,3.5,,
Manx Shearwater,173.1,2,Dark Colour Sheen,Oiled & Percolation,21,8,3,3,7,,,,,,,,,,,,,,,,,,,,,5.25,,
Manx Shearwater,173.2,2,Dark Colour Sheen,Oiled & Percolation,25,5,3,7,4,6,,,,,,,,,,,,,,,,,,,,5,,
Manx Shearwater,173.3,2,Dark Colour Sheen,Oiled & Percolation,21,3,5,9,4,,,,,,,,,,,,,,,,,,,,,5.25,,
Manx Shearwater,173.4,2,Dark Colour Sheen,Oiled & Percolation,25,7,5,4,3,6,,,,,,,,,,,,,,,,,,,,5,4.62,
Manx Shearwater,191.1,2,Dark Colour Sheen,Oiled,21,2,4,5,4,4,1,1,,,,,,,,,,,,,,,,,,3,,
Manx Shearwater,191.2,2,Dark Colour Sheen,Oiled,21,2,3,1,5,2,2,2,2,2,,,,,,,,,,,,,,,,2.33,,
Manx Shearwater,191.3,2,Dark Colour Sheen,Oiled,21,4,6,3,6,2,,,,,,,,,,,,,,,,,,,,4.2,,
Manx Shearwater,191.4,2,Dark Colour Sheen,Oiled,21,5,4,6,4,2,,,,,,,,,,,,,,,,,,,,4.2,,
Manx Shearwater,197.1,2,Dark Colour Sheen,Oiled,25,6,7,3,6,3,,,,,,,,,,,,,,,,,,,,5,,
Manx Shearwater,197.2,2,Dark Colour Sheen,Oiled,21,2,5,4,10,,,,,,,,,,,,,,,,,,,,,5.25,,
Manx Shearwater,197.3,2,Dark Colour Sheen,Oiled,21,2,1,2,1,1,2,2,4,6,,,,,,,,,,,,,,,,2.33,,
Manx Shearwater,197.4,2,Dark Colour Sheen,Oiled,21,4,3,3,6,5,,,,,,,,,,,,,,,,,,,,4.2,3.81,4.22
Manx Shearwater,168.1,3,Standard Slick,Oiled & Percolation,21,9,7,3,2,,,,,,,,,,,,,,,,,,,,,5.25,,
Manx Shearwater,168.2,3,Standard Slick,Oiled & Percolation,21,3,5,4,4,5,,,,,,,,,,,,,,,,,,,,4.2,,
Manx Shearwater,168.3,3,Standard Slick,Oiled & Percolation,21,4,2,3,2,4,2,2,2,,,,,,,,,,,,,,,,,2.63,,
Manx Shearwater,168.4,3,Standard Slick,Oiled & Percolation,21,3,3,3,4,3,3,2,,,,,,,,,,,,,,,,,,3,,
Manx Shearwater,174.1,3,Standard Slick,Oiled & Percolation,21,2,3,5,4,4,3,,,,,,,,,,,,,,,,,,,3.5,,
Manx Shearwater,174.2,3,Standard Slick,Oiled & Percolation,21,2,3,3,2,2,3,3,3,,,,,,,,,,,,,,,,,2.63,,
Manx Shearwater,174.3,3,Standard Slick,Oiled & Percolation,21,3,5,2,2,4,3,2,,,,,,,,,,,,,,,,,,3,,
Manx Shearwater,174.4,3,Standard Slick,Oiled & Percolation,21,4,2,3,2,1,3,2,3,1,,,,,,,,,,,,,,,,2.33,3.32,
Manx Shearwater,192.1,3,Standard Slick,Oiled,21,3,2,3,2,1,1,3,1,5,,,,,,,,,,,,,,,,2.33,,
Manx Shearwater,192.2,3,Standard Slick,Oiled,21,2,1,1,4,1,2,7,3,,,,,,,,,,,,,,,,,2.63,,
Manx Shearwater,192.3,3,Standard Slick,Oiled,21,2,1,2,2,2,1,2,2,3,1,2,1,,,,,,,,,,,,,1.75,,
Manx Shearwater,192.4,3,Standard Slick,Oiled,21,2,3,1,2,2,2,1,2,4,2,,,,,,,,,,,,,,,2.1,,
Manx Shearwater,198.1,3,Standard Slick,Oiled,21,3,4,3,2,5,4,,,,,,,,,,,,,,,,,,,3.5,,
Manx Shearwater,198.2,3,Standard Slick,Oiled,21,3,2,3,3,5,5,,,,,,,,,,,,,,,,,,,3.5,,
Manx Shearwater,198.3,3,Standard Slick,Oiled,21,2,5,3,3,4,4,,,,,,,,,,,,,,,,,,,3.5,,
Manx Shearwater,198.4,3,Standard Slick,Oiled,21,1,2,3,1,1,2,3,5,3,,,,,,,,,,,,,,,,2.33,2.71,3.01
Manx Shearwater,169.1,4,Severe Slick,Oiled & Percolation,21,3,2,2,2,3,4,1,3,1,,,,,,,,,,,,,,,,2.33,,
Manx Shearwater,169.2,4,Severe Slick,Oiled & Percolation,21,3,2,1,3,4,1,2,2,3,,,,,,,,,,,,,,,,2.33,,
Manx Shearwater,169.3,4,Severe Slick,Oiled & Percolation,21,2,2,2,2,4,3,2,1,1,1,1,,,,,,,,,,,,,,1.91,,
Manx Shearwater,169.4,4,Severe Slick,Oiled & Percolation,25,3,3,8,1,1,3,3,1,2,,,,,,,,,,,,,,,,2.78,,
Manx Shearwater,175.1,4,Severe Slick,Oiled & Percolation,21,2,1,1,1,1,1,2,1,2,2,1,2,1,1,1,1,,,,,,,,,1.31,,
Manx Shearwater,175.2,4,Severe Slick,Oiled & Percolation,21,2,6,1,2,1,1,1,3,1,1,2,,,,,,,,,,,,,,1.91,,
Manx Shearwater,175.3,4,Severe Slick,Oiled & Percolation,21,3,1,4,2,2,1,1,4,2,1,,,,,,,,,,,,,,,2.1,,
Manx Shearwater,175.4,4,Severe Slick,Oiled & Percolation,21,6,4,2,2,1,2,3,1,,,,,,,,,,,,,,,,,2.63,2.16,
Manx Shearwater,193.1,4,Severe Slick,Oiled,21,3,4,5,3,1,1,3,1,,,,,,,,,,,,,,,,,2.63,,
Manx Shearwater,193.2,4,Severe Slick,Oiled,21,2,2,2,2,2,2,2,6,1,,,,,,,,,,,,,,,,2.33,,
Manx Shearwater,193.3,4,Severe Slick,Oiled,25,2,2,3,2,3,2,1,2,1,2,1,4,,,,,,,,,,,,,2.08,,
Manx Shearwater,193.4,4,Severe Slick,Oiled,21,1,1,2,4,1,2,1,1,2,2,4,,,,,,,,,,,,,,1.91,,
Manx Shearwater,199.1,4,Severe Slick,Oiled,25,1,1,3,4,2,1,2,1,1,2,1,2,1,2,1,,,,,,,,,,1.67,,
Manx Shearwater,199.2,4,Severe Slick,Oiled,21,2,1,1,1,3,2,3,3,4,1,,,,,,,,,,,,,,,2.1,,
Manx Shearwater,199.3,4,Severe Slick,Oiled,21,1,2,3,4,3,3,1,1,3,,,,,,,,,,,,,,,,2.33,,
Manx Shearwater,199.4,4,Severe Slick,Oiled,21,3,1,1,3,2,1,4,2,1,2,1,,,,,,,,,,,,,,1.91,2.12,2.14
